"filename", "language", "PHP", "Markdown", "comment", "blank", "total"
"c:\Users\teddy\Desktop\final\Quizify\README.md", "Markdown", 0, 6, 0, 5, 11
"c:\Users\teddy\Desktop\final\Quizify\index.php", "PHP", 12, 0, 2, 7, 21
"c:\Users\teddy\Desktop\final\Quizify\src\Controllers\Homepage.php", "PHP", 10, 0, 1, 6, 17
"c:\Users\teddy\Desktop\final\Quizify\src\Models\Answer.php", "PHP", 0, 0, 0, 1, 1
"c:\Users\teddy\Desktop\final\Quizify\src\Models\Question.php", "PHP", 0, 0, 0, 1, 1
"c:\Users\teddy\Desktop\final\Quizify\src\Models\Quiz.php", "PHP", 0, 0, 0, 1, 1
"c:\Users\teddy\Desktop\final\Quizify\src\Models\Session.php", "PHP", 48, 0, 0, 10, 58
"c:\Users\teddy\Desktop\final\Quizify\src\Models\User.php", "PHP", 24, 0, 1, 5, 30
"c:\Users\teddy\Desktop\final\Quizify\src\tools\database-connection.php", "PHP", 9, 0, 0, 5, 14
"c:\Users\teddy\Desktop\final\Quizify\templates\error.php", "PHP", 0, 0, 0, 1, 1
"c:\Users\teddy\Desktop\final\Quizify\templates\home\home.php", "PHP", 11, 0, 0, 3, 14
"c:\Users\teddy\Desktop\final\Quizify\templates\layout.php", "PHP", 0, 0, 0, 1, 1
"Total", "-", 114, 6, 4, 46, 170
